Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitche0bvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold
17,20.00,0.00,11241.00,6.00,7.00,1970.00,1970.00,180.00,578.00,0.00,426.00,1004.00,1004.00,0.00,0.00,1004.00,1.00,0.00,1.00,0.00,2.00,1.00,5.00,1.00,1970.00,2.00,480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00,3.00,2010.00
18,90.00,72.00,10791.00,4.00,5.00,1967.00,1967.00,0.00,0.00,0.00,0.00,0.00,1296.00,0.00,0.00,1296.00,0.00,0.00,2.00,0.00,2.00,2.00,6.00,0.00,1967.00,2.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,10.00,2006.00
19,20.00,66.00,13695.00,5.00,5.00,2004.00,2004.00,0.00,646.00,0.00,468.00,1114.00,1114.00,0.00,0.00,1114.00,1.00,0.00,1.00,1.00,3.00,1.00,6.00,0.00,2004.00,2.00,576.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00
20,20.00,70.00,7560.00,5.00,6.00,1958.00,1965.00,0.00,504.00,0.00,525.00,1029.00,1339.00,0.00,0.00,1339.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1958.00,1.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2009.00
21,60.00,101.00,14215.00,8.00,5.00,2005.00,2006.00,380.00,0.00,0.00,1158.00,1158.00,1158.00,1218.00,0.00,2376.00,0.00,0.00,3.00,1.00,4.00,1.00,9.00,1.00,2005.00,3.00,853.00,240.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,2006.00
22,45.00,57.00,7449.00,7.00,7.00,1930.00,1950.00,0.00,0.00,0.00,637.00,637.00,1108.00,0.00,0.00,1108.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,1.00,1930.00,1.00,280.00,0.00,0.00,205.00,0.00,0.00,0.00,0.00,0.00,6.00,2007.00
23,20.00,75.00,9742.00,8.00,5.00,2002.00,2002.00,281.00,0.00,0.00,1777.00,1777.00,1795.00,0.00,0.00,1795.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,2002.00,2.00,534.00,171.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2008.00
24,120.00,44.00,4224.00,5.00,7.00,1976.00,1976.00,0.00,840.00,0.00,200.00,1040.00,1060.00,0.00,0.00,1060.00,1.00,0.00,1.00,0.00,3.00,1.00,6.00,1.00,1976.00,2.00,572.00,100.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2007.00
25,20.00,0.00,8246.00,5.00,8.00,1968.00,2001.00,0.00,188.00,668.00,204.00,1060.00,1060.00,0.00,0.00,1060.00,1.00,0.00,1.00,0.00,3.00,1.00,6.00,1.00,1968.00,1.00,270.00,406.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
26,20.00,110.00,14230.00,8.00,5.00,2007.00,2007.00,640.00,0.00,0.00,1566.00,1566.00,1600.00,0.00,0.00,1600.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,2007.00,3.00,890.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2009.00
27,20.00,60.00,7200.00,5.00,7.00,1951.00,2000.00,0.00,234.00,486.00,180.00,900.00,900.00,0.00,0.00,900.00,0.00,1.00,1.00,0.00,3.00,1.00,5.00,0.00,2005.00,2.00,576.00,222.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
28,20.00,98.00,11478.00,8.00,5.00,2007.00,2008.00,200.00,1218.00,0.00,486.00,1704.00,1704.00,0.00,0.00,1704.00,1.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,2008.00,3.00,772.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
29,20.00,47.00,16321.00,5.00,6.00,1957.00,1997.00,0.00,1277.00,0.00,207.00,1484.00,1600.00,0.00,0.00,1600.00,1.00,0.00,1.00,0.00,2.00,1.00,6.00,2.00,1957.00,1.00,319.00,288.00,258.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2006.00
30,30.00,60.00,6324.00,4.00,6.00,1927.00,1950.00,0.00,0.00,0.00,520.00,520.00,520.00,0.00,0.00,520.00,0.00,0.00,1.00,0.00,1.00,1.00,4.00,0.00,1920.00,1.00,240.00,49.00,0.00,87.00,0.00,0.00,0.00,0.00,0.00,5.00,2008.00
31,70.00,50.00,8500.00,4.00,4.00,1920.00,1950.00,0.00,0.00,0.00,649.00,649.00,649.00,668.00,0.00,1317.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1920.00,1.00,250.00,0.00,54.00,172.00,0.00,0.00,0.00,0.00,0.00,7.00,2008.00
32,20.00,0.00,8544.00,5.00,6.00,1966.00,2006.00,0.00,0.00,0.00,1228.00,1228.00,1228.00,0.00,0.00,1228.00,0.00,0.00,1.00,1.00,3.00,1.00,6.00,0.00,1966.00,1.00,271.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00
33,20.00,85.00,11049.00,8.00,5.00,2007.00,2007.00,0.00,0.00,0.00,1234.00,1234.00,1234.00,0.00,0.00,1234.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,0.00,2007.00,2.00,484.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00
34,20.00,70.00,10552.00,5.00,5.00,1959.00,1959.00,0.00,1018.00,0.00,380.00,1398.00,1700.00,0.00,0.00,1700.00,0.00,1.00,1.00,1.00,4.00,1.00,6.00,1.00,1959.00,2.00,447.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2010.00
35,120.00,60.00,7313.00,9.00,5.00,2005.00,2005.00,246.00,1153.00,0.00,408.00,1561.00,1561.00,0.00,0.00,1561.00,1.00,0.00,2.00,0.00,2.00,1.00,6.00,1.00,2005.00,2.00,556.00,203.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00
36,60.00,108.00,13418.00,8.00,5.00,2004.00,2005.00,132.00,0.00,0.00,1117.00,1117.00,1132.00,1320.00,0.00,2452.00,0.00,0.00,3.00,1.00,4.00,1.00,9.00,1.00,2004.00,3.00,691.00,113.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2006.00
37,20.00,112.00,10859.00,5.00,5.00,1994.00,1995.00,0.00,0.00,0.00,1097.00,1097.00,1097.00,0.00,0.00,1097.00,0.00,0.00,1.00,1.00,3.00,1.00,6.00,0.00,1995.00,2.00,672.00,392.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2009.00
38,20.00,74.00,8532.00,5.00,6.00,1954.00,1990.00,650.00,1213.00,0.00,84.00,1297.00,1297.00,0.00,0.00,1297.00,0.00,1.00,1.00,0.00,3.00,1.00,5.00,1.00,1954.00,2.00,498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2009.00
39,20.00,68.00,7922.00,5.00,7.00,1953.00,2007.00,0.00,731.00,0.00,326.00,1057.00,1057.00,0.00,0.00,1057.00,1.00,0.00,1.00,0.00,3.00,1.00,5.00,0.00,1953.00,1.00,246.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2010.00
40,90.00,65.00,6040.00,4.00,5.00,1955.00,1955.00,0.00,0.00,0.00,0.00,0.00,1152.00,0.00,0.00,1152.00,0.00,0.00,2.00,0.00,2.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00
41,20.00,84.00,8658.00,6.00,5.00,1965.00,1965.00,101.00,643.00,0.00,445.00,1088.00,1324.00,0.00,0.00,1324.00,0.00,0.00,2.00,0.00,3.00,1.00,6.00,1.00,1965.00,2.00,440.00,0.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2006.00
42,20.00,115.00,16905.00,5.00,6.00,1959.00,1959.00,0.00,967.00,0.00,383.00,1350.00,1328.00,0.00,0.00,1328.00,0.00,1.00,1.00,1.00,2.00,1.00,5.00,2.00,1959.00,1.00,308.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00
43,85.00,0.00,9180.00,5.00,7.00,1983.00,1983.00,0.00,747.00,93.00,0.00,840.00,884.00,0.00,0.00,884.00,1.00,0.00,1.00,0.00,2.00,1.00,5.00,0.00,1983.00,2.00,504.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2007.00
44,20.00,0.00,9200.00,5.00,6.00,1975.00,1980.00,0.00,280.00,491.00,167.00,938.00,938.00,0.00,0.00,938.00,1.00,0.00,1.00,0.00,3.00,1.00,5.00,0.00,1977.00,1.00,308.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2008.00
45,20.00,70.00,7945.00,5.00,6.00,1959.00,1959.00,0.00,179.00,506.00,465.00,1150.00,1150.00,0.00,0.00,1150.00,1.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1959.00,1.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2006.00
46,120.00,61.00,7658.00,9.00,5.00,2005.00,2005.00,412.00,456.00,0.00,1296.00,1752.00,1752.00,0.00,0.00,1752.00,1.00,0.00,2.00,0.00,2.00,1.00,6.00,1.00,2005.00,2.00,576.00,196.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2010.00
47,50.00,48.00,12822.00,7.00,5.00,2003.00,2003.00,0.00,1351.00,0.00,83.00,1434.00,1518.00,631.00,0.00,2149.00,1.00,0.00,1.00,1.00,1.00,1.00,6.00,1.00,2003.00,2.00,670.00,168.00,43.00,0.00,0.00,198.00,0.00,0.00,0.00,8.00,2009.00
48,20.00,84.00,11096.00,8.00,5.00,2006.00,2006.00,0.00,24.00,0.00,1632.00,1656.00,1656.00,0.00,0.00,1656.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,0.00,2006.00,3.00,826.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00
49,190.00,33.00,4456.00,4.00,5.00,1920.00,2008.00,0.00,0.00,0.00,736.00,736.00,736.00,716.00,0.00,1452.00,0.00,0.00,2.00,0.00,2.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,6.00,2009.00
50,20.00,66.00,7742.00,5.00,7.00,1966.00,1966.00,0.00,763.00,0.00,192.00,955.00,955.00,0.00,0.00,955.00,1.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1966.00,1.00,386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2007.00
51,60.00,0.00,13869.00,6.00,6.00,1997.00,1997.00,0.00,182.00,0.00,612.00,794.00,794.00,676.00,0.00,1470.00,0.00,1.00,2.00,0.00,3.00,1.00,6.00,0.00,1997.00,2.00,388.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00
52,50.00,52.00,6240.00,6.00,6.00,1934.00,1950.00,0.00,0.00,0.00,816.00,816.00,816.00,0.00,360.00,1176.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,1.00,1985.00,2.00,528.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,9.00,2006.00
53,90.00,110.00,8472.00,5.00,5.00,1963.00,1963.00,0.00,104.00,712.00,0.00,816.00,816.00,0.00,0.00,816.00,1.00,0.00,1.00,0.00,2.00,1.00,5.00,0.00,1963.00,2.00,516.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
54,20.00,68.00,50271.00,9.00,5.00,1981.00,1987.00,0.00,1810.00,0.00,32.00,1842.00,1842.00,0.00,0.00,1842.00,2.00,0.00,0.00,1.00,0.00,1.00,5.00,1.00,1981.00,3.00,894.00,857.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,2006.00
55,80.00,60.00,7134.00,5.00,5.00,1955.00,1955.00,0.00,384.00,0.00,0.00,384.00,1360.00,0.00,0.00,1360.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,1.00,1962.00,2.00,572.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2007.00
56,20.00,100.00,10175.00,6.00,5.00,1964.00,1964.00,272.00,490.00,0.00,935.00,1425.00,1425.00,0.00,0.00,1425.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,1964.00,2.00,576.00,0.00,0.00,0.00,407.00,0.00,0.00,0.00,0.00,7.00,2008.00
57,160.00,24.00,2645.00,8.00,5.00,1999.00,2000.00,456.00,649.00,0.00,321.00,970.00,983.00,756.00,0.00,1739.00,1.00,0.00,2.00,1.00,3.00,1.00,7.00,0.00,1999.00,2.00,480.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2009.00
58,60.00,89.00,11645.00,7.00,5.00,2004.00,2004.00,0.00,0.00,0.00,860.00,860.00,860.00,860.00,0.00,1720.00,0.00,0.00,2.00,1.00,3.00,1.00,7.00,0.00,2004.00,2.00,565.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2006.00
59,60.00,66.00,13682.00,10.00,5.00,2006.00,2006.00,1031.00,0.00,0.00,1410.00,1410.00,1426.00,1519.00,0.00,2945.00,0.00,0.00,3.00,1.00,3.00,1.00,10.00,1.00,2006.00,3.00,641.00,192.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,10.00,2006.00
60,20.00,60.00,7200.00,5.00,7.00,1972.00,1972.00,0.00,632.00,0.00,148.00,780.00,780.00,0.00,0.00,780.00,0.00,0.00,1.00,0.00,2.00,1.00,4.00,0.00,1973.00,1.00,352.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00
61,20.00,63.00,13072.00,6.00,5.00,2004.00,2004.00,0.00,941.00,0.00,217.00,1158.00,1158.00,0.00,0.00,1158.00,1.00,0.00,1.00,1.00,3.00,1.00,5.00,0.00,2006.00,2.00,576.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2006.00
62,75.00,60.00,7200.00,5.00,7.00,1920.00,1996.00,0.00,0.00,0.00,530.00,530.00,581.00,530.00,0.00,1111.00,0.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1935.00,1.00,288.00,0.00,0.00,144.00,0.00,0.00,0.00,0.00,0.00,3.00,2007.00
63,120.00,44.00,6442.00,8.00,5.00,2006.00,2006.00,178.00,24.00,0.00,1346.00,1370.00,1370.00,0.00,0.00,1370.00,0.00,0.00,2.00,0.00,2.00,1.00,6.00,1.00,2006.00,2.00,484.00,120.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2007.00
64,70.00,50.00,10300.00,7.00,6.00,1921.00,1950.00,0.00,0.00,0.00,576.00,576.00,902.00,808.00,0.00,1710.00,0.00,0.00,2.00,0.00,3.00,1.00,9.00,0.00,1990.00,2.00,480.00,12.00,11.00,64.00,0.00,0.00,0.00,0.00,0.00,4.00,2010.00
65,60.00,0.00,9375.00,7.00,5.00,1997.00,1998.00,573.00,739.00,0.00,318.00,1057.00,1057.00,977.00,0.00,2034.00,1.00,0.00,2.00,1.00,3.00,1.00,8.00,0.00,1998.00,2.00,645.00,576.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2009.00
66,60.00,76.00,9591.00,8.00,5.00,2004.00,2005.00,344.00,0.00,0.00,1143.00,1143.00,1143.00,1330.00,0.00,2473.00,0.00,0.00,2.00,1.00,4.00,1.00,9.00,1.00,2004.00,3.00,852.00,192.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2007.00
67,20.00,0.00,19900.00,7.00,5.00,1970.00,1989.00,287.00,912.00,0.00,1035.00,1947.00,2207.00,0.00,0.00,2207.00,1.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,1970.00,2.00,576.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2010.00
68,20.00,72.00,10665.00,7.00,5.00,2003.00,2003.00,167.00,1013.00,0.00,440.00,1453.00,1479.00,0.00,0.00,1479.00,1.00,0.00,2.00,0.00,3.00,1.00,7.00,0.00,2003.00,2.00,558.00,144.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2007.00
69,30.00,47.00,4608.00,4.00,6.00,1945.00,1950.00,0.00,0.00,0.00,747.00,747.00,747.00,0.00,0.00,747.00,0.00,0.00,1.00,0.00,2.00,1.00,4.00,0.00,1945.00,1.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2010.00
70,50.00,81.00,15593.00,7.00,4.00,1953.00,1953.00,0.00,603.00,0.00,701.00,1304.00,1304.00,983.00,0.00,2287.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,1953.00,2.00,667.00,0.00,21.00,114.00,0.00,0.00,0.00,0.00,0.00,7.00,2006.00
71,20.00,95.00,13651.00,7.00,6.00,1973.00,1973.00,1115.00,1880.00,0.00,343.00,2223.00,2223.00,0.00,0.00,2223.00,1.00,0.00,2.00,0.00,3.00,1.00,8.00,2.00,1973.00,2.00,516.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2007.00
72,20.00,69.00,7599.00,4.00,6.00,1982.00,2006.00,0.00,565.00,0.00,280.00,845.00,845.00,0.00,0.00,845.00,1.00,0.00,1.00,0.00,2.00,1.00,4.00,0.00,1987.00,2.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2007.00
73,60.00,74.00,10141.00,7.00,5.00,1998.00,1998.00,40.00,0.00,0.00,832.00,832.00,885.00,833.00,0.00,1718.00,0.00,0.00,2.00,1.00,3.00,1.00,7.00,1.00,1998.00,2.00,427.00,0.00,94.00,0.00,0.00,291.00,0.00,0.00,0.00,12.00,2009.00
74,20.00,85.00,10200.00,5.00,7.00,1954.00,2003.00,104.00,320.00,362.00,404.00,1086.00,1086.00,0.00,0.00,1086.00,1.00,0.00,1.00,0.00,3.00,1.00,6.00,0.00,1989.00,2.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
75,50.00,60.00,5790.00,3.00,6.00,1915.00,1950.00,0.00,0.00,0.00,840.00,840.00,840.00,765.00,0.00,1605.00,0.00,0.00,2.00,0.00,3.00,2.00,8.00,0.00,1915.00,1.00,379.00,0.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00
76,180.00,21.00,1596.00,4.00,5.00,1973.00,1973.00,0.00,462.00,0.00,0.00,462.00,526.00,462.00,0.00,988.00,1.00,0.00,1.00,0.00,2.00,1.00,5.00,0.00,1973.00,1.00,297.00,120.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,2009.00
77,20.00,0.00,8475.00,4.00,7.00,1956.00,1956.00,0.00,228.00,0.00,724.00,952.00,952.00,0.00,0.00,952.00,0.00,0.00,1.00,0.00,2.00,1.00,4.00,0.00,1956.00,1.00,283.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2008.00
78,50.00,50.00,8635.00,5.00,5.00,1948.00,2001.00,0.00,336.00,41.00,295.00,672.00,1072.00,213.00,0.00,1285.00,1.00,0.00,1.00,0.00,2.00,1.00,6.00,0.00,1948.00,1.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00
79,90.00,72.00,10778.00,4.00,5.00,1968.00,1968.00,0.00,0.00,0.00,1768.00,1768.00,1768.00,0.00,0.00,1768.00,0.00,0.00,2.00,0.00,4.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2010.00
80,50.00,60.00,10440.00,5.00,6.00,1910.00,1981.00,0.00,0.00,0.00,440.00,440.00,682.00,548.00,0.00,1230.00,0.00,0.00,1.00,1.00,2.00,1.00,5.00,0.00,1966.00,2.00,440.00,74.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,5.00,2009.00
81,60.00,100.00,13000.00,6.00,6.00,1968.00,1968.00,576.00,448.00,0.00,448.00,896.00,1182.00,960.00,0.00,2142.00,0.00,0.00,2.00,1.00,4.00,1.00,8.00,1.00,1968.00,1.00,509.00,0.00,72.00,0.00,0.00,252.00,0.00,0.00,0.00,6.00,2009.00
82,120.00,32.00,4500.00,6.00,5.00,1998.00,1998.00,443.00,1201.00,0.00,36.00,1237.00,1337.00,0.00,0.00,1337.00,1.00,0.00,2.00,0.00,2.00,1.00,5.00,0.00,1998.00,2.00,405.00,0.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2006.00
83,20.00,78.00,10206.00,8.00,5.00,2007.00,2007.00,468.00,33.00,0.00,1530.00,1563.00,1563.00,0.00,0.00,1563.00,0.00,0.00,2.00,0.00,3.00,1.00,6.00,1.00,2007.00,3.00,758.00,144.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2008.00
84,20.00,80.00,8892.00,5.00,5.00,1960.00,1960.00,66.00,0.00,0.00,1065.00,1065.00,1065.00,0.00,0.00,1065.00,0.00,0.00,1.00,1.00,3.00,1.00,6.00,0.00,1974.00,2.00,461.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00
85,80.00,0.00,8530.00,7.00,5.00,1995.00,1996.00,22.00,0.00,0.00,384.00,384.00,804.00,670.00,0.00,1474.00,0.00,0.00,2.00,1.00,3.00,1.00,7.00,1.00,1995.00,2.00,400.00,120.00,72.00,0.00,0.00,0.00,0.00,0.00,700.00,5.00,2009.00
